City, Zip_code, Safety_classifier, Accidents_per_1000_veh, Injuries_per_1000_accidents, Deaths_per_1000_accidents, Vehicles_involved_per_accident, Total_num_accidents, Total_num_of_accident_veh, Top_factor_1, Top_factor_2, Top_factor_3, Top_factor_4, Top_factor_5, Top_vehicle_type_1, Top_vehicle_type_2, Top_vehicle_type_3, Top_vehicle_type_4, Top_vehicle_type_5, Top_street_complaint_1, Top_street_complaint_2, Top_street_complaint_3, Top_complaint_desc_1, Top_complaint_desc_2, Top_complaint_desc_3, Top_complaint_desc_4, Top_complaint_desc_5, Num_street_complaints
NEW YORK,10029,Ok,0.04,247.33,1.6,1.95,1872,3642,Driver Inattention/Distraction: 256: 7.03%,Other Vehicular: 128: 3.51%,Fatigued/Drowsy: 59: 1.62%,Turning Improperly: 52: 1.43%,Backing Unsafely: 49: 1.35%,PASSENGER VEHICLE: 1601: 43.96%,SPORT UTILITY / STATION WAGON: 763: 20.95%,TAXI: 235: 6.45%,VAN: 160: 4.39%,OTHER: 140: 3.84%,STREET CONDITION: 721: 94.62%,STREET SIGN - MISSING: 17: 2.23%,STREET SIGN - DAMAGED: 15: 1.97%,Pothole: 425: 55.77%,Cave-in: 82: 10.76%,Failed Street Repair: 40: 5.25%,Rough  Pitted or Cracked Roads: 39: 5.12%,Defective Hardware: 38: 4.99%,762
NEW YORK,10026,Ok,0.07,345.18,5.08,1.96,591,1156,Driver Inattention/Distraction: 176: 15.22%,Other Vehicular: 49: 4.24%,Failure to Yield Right-of-Way: 32: 2.77%,Backing Unsafely: 29: 2.51%,Fatigued/Drowsy: 29: 2.51%,PASSENGER VEHICLE: 532: 46.02%,SPORT UTILITY / STATION WAGON: 194: 16.78%,TAXI: 91: 7.87%,VAN: 75: 6.49%,BICYCLE: 43: 3.72%,STREET CONDITION: 195: 73.86%,STREET LIGHT CONDITION: 56: 21.21%,STREET SIGN - MISSING: 9: 3.41%,Pothole: 116: 43.94%,Street Light Out: 48: 18.18%,Cave-in: 21: 7.95%,Failed Street Repair: 15: 5.68%,Defective Hardware: 12: 4.55%,264
NEW YORK,10027,Ok,0.13,278.24,1.78,1.91,1682,3214,Driver Inattention/Distraction: 268: 8.34%,Fatigued/Drowsy: 99: 3.08%,Failure to Yield Right-of-Way: 98: 3.05%,Backing Unsafely: 84: 2.61%,Other Vehicular: 84: 2.61%,PASSENGER VEHICLE: 1541: 47.95%,SPORT UTILITY / STATION WAGON: 540: 16.8%,TAXI: 193: 6.0%,VAN: 161: 5.01%,OTHER: 150: 4.67%,STREET CONDITION: 768: 85.33%,STREET LIGHT CONDITION: 81: 9.0%,STREET SIGN - MISSING: 22: 2.44%,Pothole: 491: 54.56%,Street Light Out: 61: 6.78%,Cave-in: 54: 6.0%,Failed Street Repair: 51: 5.67%,Rough  Pitted or Cracked Roads: 40: 4.44%,900
BRONX,10471,Ok,0.02,247.37,0,1.98,380,753,Driver Inattention/Distraction: 61: 8.1%,Failure to Yield Right-of-Way: 22: 2.92%,Other Vehicular: 15: 1.99%,Fatigued/Drowsy: 14: 1.86%,Pavement Slippery: 13: 1.73%,PASSENGER VEHICLE: 474: 62.95%,SPORT UTILITY / STATION WAGON: 129: 17.13%,OTHER: 15: 1.99%,TAXI: 13: 1.73%,PICK-UP TRUCK: 12: 1.59%,STREET CONDITION: 741: 72.79%,STREET LIGHT CONDITION: 190: 18.66%,STREET SIGN - DAMAGED: 46: 4.52%,Pothole: 530: 52.06%,Street Light Out: 181: 17.78%,Failed Street Repair: 60: 5.89%,Cave-in: 50: 4.91%,Rough  Pitted or Cracked Roads: 43: 4.22%,1018
BRONX,10470,Ok,0.14,270.77,1.54,1.98,650,1289,Failure to Yield Right-of-Way: 25: 1.94%,Backing Unsafely: 13: 1.01%,Driver Inattention/Distraction: 13: 1.01%,Prescription Medication: 9: 0.7%,Pavement Slippery: 9: 0.7%,PASSENGER VEHICLE: 737: 57.18%,SPORT UTILITY / STATION WAGON: 196: 15.21%,VAN: 33: 2.56%,OTHER: 33: 2.56%,LARGE COM VEH(6 OR MORE TIRES): 20: 1.55%,STREET CONDITION: 210: 46.56%,STREET LIGHT CONDITION: 183: 40.58%,STREET SIGN - DAMAGED: 31: 6.87%,Street Light Out: 172: 38.14%,Pothole: 108: 23.95%,Cave-in: 37: 8.2%,Failed Street Repair: 21: 4.66%,St Name - Attached to Pole: 18: 3.99%,451
NEW YORK,10025,Ok,0.11,190.72,1.91,1.93,1573,3031,Driver Inattention/Distraction: 263: 8.68%,Backing Unsafely: 104: 3.43%,Failure to Yield Right-of-Way: 89: 2.94%,Other Vehicular: 86: 2.84%,Fatigued/Drowsy: 77: 2.54%,PASSENGER VEHICLE: 1549: 51.11%,SPORT UTILITY / STATION WAGON: 370: 12.21%,TAXI: 351: 11.58%,VAN: 146: 4.82%,OTHER: 96: 3.17%,STREET CONDITION: 906: 87.96%,STREET LIGHT CONDITION: 63: 6.12%,STREET SIGN - DAMAGED: 25: 2.43%,Pothole: 453: 43.98%,Defective Hardware: 118: 11.46%,Plate Condition - Noisy: 74: 7.18%,Cave-in: 67: 6.5%,Failed Street Repair: 55: 5.34%,1030
NEW YORK,10128,Ok,0.02,151.81,0.76,1.96,1324,2597,Other Vehicular: 756: 29.11%,Driver Inattention/Distraction: 209: 8.05%,Fatigued/Drowsy: 84: 3.23%,Turning Improperly: 60: 2.31%,Failure to Yield Right-of-Way: 53: 2.04%,PASSENGER VEHICLE: 990: 38.12%,SPORT UTILITY / STATION WAGON: 498: 19.18%,TAXI: 393: 15.13%,VAN: 144: 5.54%,OTHER: 144: 5.54%,STREET CONDITION: 699: 90.9%,STREET SIGN - DAMAGED: 28: 3.64%,STREET LIGHT CONDITION: 21: 2.73%,Pothole: 231: 30.04%,Plate Condition - Noisy: 122: 15.86%,Defective Hardware: 110: 14.3%,Plate Condition - Shifted: 54: 7.02%,Cave-in: 47: 6.11%,769
BRONX,10473,Ok,0.13,326.24,2.36,1.95,846,1648,Driver Inattention/Distraction: 84: 5.1%,Other Vehicular: 35: 2.12%,Backing Unsafely: 24: 1.46%,Traffic Control Disregarded: 24: 1.46%,Failure to Yield Right-of-Way: 24: 1.46%,PASSENGER VEHICLE: 913: 55.4%,SPORT UTILITY / STATION WAGON: 385: 23.36%,VAN: 35: 2.12%,OTHER: 33: 2.0%,TAXI: 31: 1.88%,STREET LIGHT CONDITION: 1753: 75.53%,STREET CONDITION: 531: 22.88%,STREET SIGN - MISSING: 15: 0.65%,Street Light Out: 1501: 64.67%,Pothole: 351: 15.12%,Street Light Cycling: 170: 7.32%,Failed Street Repair: 64: 2.76%,Cave-in: 48: 2.07%,2321
STATEN ISLAND,10312,Ok,0.26,271.86,1.37,2.01,1464,2946,Driver Inattention/Distraction: 66: 2.24%,Failure to Yield Right-of-Way: 32: 1.09%,Fatigued/Drowsy: 26: 0.88%,Other Vehicular: 14: 0.48%,Prescription Medication: 11: 0.37%,PASSENGER VEHICLE: 1771: 60.12%,SPORT UTILITY / STATION WAGON: 744: 25.25%,OTHER: 75: 2.55%,PICK-UP TRUCK: 64: 2.17%,VAN: 46: 1.56%,STREET CONDITION: 2176: 53.91%,STREET LIGHT CONDITION: 1578: 39.1%,STREET SIGN - DAMAGED: 134: 3.32%,Street Light Out: 1370: 33.94%,Pothole: 1267: 31.39%,Rough  Pitted or Cracked Roads: 299: 7.41%,Failed Street Repair: 142: 3.52%,Cave-in: 129: 3.2%,4036
NEW YORK,10022,Ok,0.08,127.91,1.7,1.94,3526,6840,Driver Inattention/Distraction: 642: 9.39%,Other Vehicular: 388: 5.67%,Fatigued/Drowsy: 219: 3.2%,Turning Improperly: 194: 2.84%,Lost Consciousness: 144: 2.11%,PASSENGER VEHICLE: 2492: 36.43%,TAXI: 1219: 17.82%,SPORT UTILITY / STATION WAGON: 1135: 16.59%,VAN: 464: 6.78%,OTHER: 236: 3.45%,STREET CONDITION: 943: 90.5%,STREET SIGN - DAMAGED: 36: 3.45%,STREET SIGN - MISSING: 24: 2.3%,Pothole: 366: 35.12%,Defective Hardware: 134: 12.86%,Plate Condition - Noisy: 85: 8.16%,Cave-in: 81: 7.77%,Rough  Pitted or Cracked Roads: 79: 7.58%,1042
